지점,일시,풍속(m/s),풍향(deg),평균파고(m),파주기(sec),파향(deg)
22104,2018-06-01 1:00,2,284,0.3,4.3,309
22104,2018-06-01 2:00,2.4,342,0.2,3.6,57
22104,2018-06-01 3:00,3.2,347,0.2,4.3,351
22104,2018-06-01 4:00,3,337,0.2,4.6,333
22104,2018-06-01 5:00,2.9,331,0.2,4.3,28
22104,2018-06-01 6:00,3.1,336,0.2,3.8,62
22104,2018-06-01 7:00,2.7,339,0.2,4.6,269
22104,2018-06-01 8:00,3.6,354,0.2,4.6,183
22104,2018-06-01 9:00,3.8,11,0.2,4,294
22104,2018-06-01 10:00,2.8,16,0.2,4.3,307
22104,2018-06-01 11:00,2.2,36,0.2,4.3,34
22104,2018-06-01 12:00,4.2,110,0.2,4.6,308
22104,2018-06-01 13:00,3.6,96,0.2,3.2,173
22104,2018-06-01 14:00,2.5,83,0.2,3.6,152
22104,2018-06-01 15:00,2.9,79,0.2,4.9,336
22104,2018-06-01 16:00,1,28,0.2,4.9,134
22104,2018-06-01 17:00,1.4,29,0.2,3.6,350
22104,2018-06-01 18:00,2.3,16,0.2,4.3,200
22104,2018-06-01 19:00,2.4,18,0.2,3.8,58
22104,2018-06-01 20:00,1.6,8,0.3,3.8,216
22104,2018-06-01 21:00,1.3,3,0.2,4,267
22104,2018-06-01 22:00,1,4,0.2,3.4,279
22104,2018-06-01 23:00,1.3,338,0.2,3.6,262
22104,2018-06-02 0:00,1.4,295,0.2,4,314
22104,2018-06-02 1:00,1.8,293,0.2,4.3,313
22104,2018-06-02 2:00,1.5,307,0.1,3.6,110
22104,2018-06-02 3:00,2.2,341,0.2,4.6,248
22104,2018-06-02 4:00,3.2,0,0.1,3.6,333
22104,2018-06-02 5:00,1.1,333,0.2,4.9,181
22104,2018-06-02 6:00,2.9,294,0.1,4.6,169
22104,2018-06-02 7:00,2.7,339,0.1,4,64
22104,2018-06-02 8:00,2.5,346,0.2,3.4,118
22104,2018-06-02 9:00,1,349,0.2,4.9,256
22104,2018-06-02 10:00,1.6,282,0.2,5.8,154
22104,2018-06-02 11:00,2.6,207,0.2,3.6,298
22104,2018-06-02 12:00,4.3,221,0.1,4.9,141
22104,2018-06-02 13:00,5.1,225,0.2,3.8,248
22104,2018-06-02 14:00,5.2,212,0.2,2.5,6
22104,2018-06-02 15:00,5.1,207,0.2,2,135
22104,2018-06-02 16:00,5.6,216,0.2,2,177
22104,2018-06-02 17:00,6.6,224,0.3,2.1,134
22104,2018-06-02 18:00,6.2,232,0.3,2.2,216
22104,2018-06-02 19:00,6.4,225,0.3,2.5,210
22104,2018-06-02 20:00,6.4,245,0.3,2.7,225
22104,2018-06-02 21:00,5.1,219,0.3,2.8,230
22104,2018-06-02 22:00,2.8,210,0.2,2.8,247
22104,2018-06-02 23:00,3.2,223,0.2,2.4,244
22104,2018-06-03 0:00,2.5,222,0.2,2.7,162
22104,2018-06-03 1:00,2.1,185,0.2,5.8,152
22104,2018-06-03 2:00,3.6,193,0.2,2.7,173
22104,2018-06-03 3:00,3.6,195,0.2,5.8,318
22104,2018-06-03 4:00,3.2,227,0.2,4.9,329
22104,2018-06-03 5:00,2.6,226,0.2,5.3,163
22104,2018-06-03 6:00,4.6,224,0.2,2.4,172
22104,2018-06-03 7:00,4.6,228,0.2,2.3,136
22104,2018-06-03 8:00,2.8,208,0.2,2.1,268
22104,2018-06-03 9:00,3.5,207,0.2,3.2,283
22104,2018-06-03 10:00,2.9,198,0.2,2.3,161
22104,2018-06-03 11:00,4.1,209,0.2,2.2,186
22104,2018-06-03 12:00,5.5,207,0.2,4.9,337
22104,2018-06-03 13:00,5.7,197,0.2,2.1,192
22104,2018-06-03 14:00,7.2,225,0.3,2.3,222
22104,2018-06-03 15:00,4.9,220,0.2,2.3,218
22104,2018-06-03 16:00,4.7,225,0.2,2.5,172
22104,2018-06-03 17:00,4.3,210,0.2,5.8,149
22104,2018-06-03 18:00,4.1,205,0.2,5.8,200
22104,2018-06-03 19:00,5.7,217,0.3,2.7,212
22104,2018-06-03 20:00,4.4,220,0.3,2.9,204
22104,2018-06-03 21:00,3.2,238,0.2,3,163
22104,2018-06-03 22:00,1.6,209,0.2,3,173
22104,2018-06-03 23:00,1.4,246,0.2,2.9,179
22104,2018-06-04 0:00,2.8,248,0.2,2.9,185
22104,2018-06-04 1:00,2.4,186,0.2,2.8,234
22104,2018-06-04 2:00,2.4,214,0.2,2.5,218
22104,2018-06-04 3:00,3.9,223,0.2,2.9,240
22104,2018-06-04 4:00,3.8,234,0.3,3.8,290
22104,2018-06-04 5:00,4.3,222,0.2,6.4,197
22104,2018-06-04 6:00,3.5,245,0.2,4,56
22104,2018-06-04 7:00,4,211,0.2,2.9,191
22104,2018-06-04 8:00,2.8,217,0.2,3,179
22104,2018-06-04 9:00,3.7,234,0.2,5.3,91
22104,2018-06-04 10:00,3.5,212,0.2,6.4,194
22104,2018-06-04 11:00,3,204,0.2,5.3,219
22104,2018-06-04 12:00,3.7,206,0.2,6.4,209
22104,2018-06-04 13:00,4.9,204,0.2,5.8,220
22104,2018-06-04 14:00,4.9,222,0.3,5.3,85
22104,2018-06-04 15:00,4.7,216,0.3,9.1,16
22104,2018-06-04 16:00,6,219,0.2,5.8,204
22104,2018-06-04 17:00,4.7,216,0.2,2.1,177
22104,2018-06-04 18:00,5.2,218,0.2,9.1,348
22104,2018-06-04 19:00,4,249,0.2,2.3,193
22104,2018-06-04 20:00,4.1,254,0.3,5.3,322
22104,2018-06-04 21:00,3.5,245,0.2,2.5,194
22104,2018-06-04 22:00,3.4,241,0.2,4.3,189
22104,2018-06-04 23:00,2.5,222,0.2,4.6,179
22104,2018-06-05 0:00,3.1,199,0.2,5.8,207
22104,2018-06-05 1:00,3,215,0.2,3.6,188
22104,2018-06-05 2:00,2.7,186,0.2,5.8,203
22104,2018-06-05 3:00,2.8,197,0.2,3.2,262
22104,2018-06-05 4:00,2.6,212,0.2,4,218
22104,2018-06-05 5:00,3,220,0.2,4.6,204
22104,2018-06-05 6:00,2.4,241,0.2,2.7,164
22104,2018-06-05 7:00,2.1,246,0.2,3.8,105
22104,2018-06-05 8:00,1.6,196,0.2,4.6,276
